"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4513599","1.4375","0"
"1","2","candidate","1.3935216","1.375","0"
"2","1","candidate","1.3304772","1.296875","0"
"2","2","parent","1.3177285","1.296875","0"
"3","1","parent","1.329259","1.25","0"
"3","2","candidate","1.323667","1.3125","0"
"4","1","candidate","1.4992844","1.46875","0"
"4","2","parent","1.3184822","1.25","0"
"5","1","parent","1.4973907","1.328125","0"
"5","2","candidate","1.3548927","1.359375","0"
"6","1","candidate","1.3692171","1.34375","0"
"6","2","parent","1.3289769","1.3125","0"
"7","1","parent","1.3700805","1.34375","0"
"7","2","candidate","1.3869474","1.375","0"
"8","1","candidate","1.3785437","1.34375","0"
"8","2","parent","1.3882895","1.375","0"
"9","1","parent","1.3499892","1.28125","0"
"9","2","candidate","1.3362503","1.296875","0"
"10","1","candidate","1.4495248","1.28125","0"
"10","2","parent","1.3239701","1.296875","0"
"11","1","parent","1.3527513","1.296875","0"
"11","2","candidate","1.3192249","1.265625","0"
"12","1","candidate","1.3518082","1.328125","0"
"12","2","parent","1.3067143","1.28125","0"
"13","1","parent","1.3218279","1.3125","0"
"13","2","candidate","1.3387119","1.3125","0"
"14","1","candidate","1.3905263","1.375","0"
"14","2","parent","1.3361015","1.328125","0"
"15","1","parent","1.4668686","1.28125","0"
"15","2","candidate","1.3144298","1.28125","0"
"16","1","candidate","1.3275288","1.3125","0"
"16","2","parent","1.3257864","1.34375","0"
"17","1","parent","1.3265465","1.3125","0"
"17","2","candidate","1.3151815","1.3125","0"
"18","1","candidate","1.3299011","1.28125","0"
"18","2","parent","1.3201623","1.3125","0"
"19","1","parent","1.3194111","1.3125","0"
"19","2","candidate","1.3117754","1.265625","0"
"20","1","candidate","1.3273111","1.296875","0"
"20","2","parent","1.3344742","1.265625","0"
"21","1","parent","1.3111003","1.296875","0"
"21","2","candidate","1.3191175","1.296875","0"
"22","1","candidate","1.3067345","1.28125","0"
"22","2","parent","1.3044011","1.28125","0"
"23","1","parent","1.388029","1.34375","0"
"23","2","candidate","1.3427098","1.34375","0"
"24","1","candidate","1.3331461","1.296875","0"
"24","2","parent","1.305979","1.28125","0"
"25","1","parent","1.3443363","1.328125","0"
"25","2","candidate","1.3195591","1.3125","0"
"26","1","candidate","1.43519","1.4375","0"
"26","2","parent","1.322527","1.265625","0"
"27","1","parent","1.3159747","1.28125","0"
"27","2","candidate","1.329185","1.3125","0"
"28","1","candidate","1.3533895","1.296875","0"
"28","2","parent","1.4304954","1.40625","0"
"29","1","parent","1.6262922","1.453125","0"
"29","2","candidate","1.3986813","1.390625","0"
"30","1","candidate","1.3347031","1.34375","0"
"30","2","parent","1.3413738","1.328125","0"
"31","1","parent","1.4022269","1.359375","0"
"31","2","candidate","1.3511848","1.25","0"
"32","1","candidate","1.3624999","1.328125","0"
"32","2","parent","1.4111436","1.40625","0"
"33","1","parent","1.3705279","1.34375","0"
"33","2","candidate","1.354518","1.328125","0"
"34","1","candidate","1.3458381","1.3125","0"
"34","2","parent","1.3275337","1.265625","0"
"35","1","parent","1.3176603","1.28125","0"
"35","2","candidate","1.3146222","1.296875","0"
"36","1","candidate","1.3229118","1.28125","0"
"36","2","parent","1.4424325","1.296875","0"
"37","1","parent","1.340199","1.3125","0"
"37","2","candidate","1.3226444","1.265625","0"
"38","1","candidate","1.3194958","1.265625","0"
"38","2","parent","1.3394191","1.3125","0"
"39","1","parent","1.3267968","1.3125","0"
"39","2","candidate","1.3202164","1.3125","0"
"40","1","candidate","1.334347","1.28125","0"
"40","2","parent","1.5630739","1.546875","0"
"41","1","parent","1.3242737","1.28125","0"
"41","2","candidate","1.4790131","1.46875","0"
"42","1","candidate","1.3367138","1.265625","0"
"42","2","parent","1.3079007","1.28125","0"
"43","1","parent","1.335191","1.3125","0"
"43","2","candidate","1.3125607","1.265625","0"
"44","1","candidate","1.3455701","1.296875","0"
"44","2","parent","1.4367188","1.28125","0"
"45","1","parent","1.321443","1.265625","0"
"45","2","candidate","1.3163596","1.296875","0"
"46","1","candidate","1.3448004","1.328125","0"
"46","2","parent","1.3123665","1.28125","0"
"47","1","parent","1.434536","1.40625","0"
"47","2","candidate","1.3059475","1.25","0"
"48","1","candidate","1.3322395","1.25","0"
"48","2","parent","1.4375403","1.390625","0"
"49","1","parent","1.330467","1.296875","0"
"49","2","candidate","1.5390118","1.359375","0"
"50","1","candidate","1.3442095","1.3125","0"
"50","2","parent","1.371205","1.34375","0"
"51","1","parent","1.3238581","1.296875","0"
"51","2","candidate","1.3359132","1.28125","0"
"52","1","candidate","1.3493649","1.328125","0"
"52","2","parent","1.3395622","1.28125","0"
"53","1","parent","1.3419288","1.328125","0"
"53","2","candidate","1.321453","1.296875","0"
"54","1","candidate","1.3221717","1.3125","0"
"54","2","parent","1.4713143","1.453125","0"
"55","1","parent","1.5013625","1.484375","0"
"55","2","candidate","1.3873503","1.296875","0"
"56","1","candidate","1.3361915","1.3125","0"
"56","2","parent","1.3290483","1.265625","0"
"57","1","parent","1.3154305","1.28125","0"
"57","2","candidate","1.3178059","1.28125","0"
"58","1","candidate","1.322359","1.3125","0"
"58","2","parent","1.3997632","1.390625","0"
"59","1","parent","1.3520146","1.3125","0"
"59","2","candidate","1.4056233","1.359375","0"
"60","1","candidate","1.3217075","1.3125","0"
"60","2","parent","1.4538817","1.4375","0"
"61","1","parent","1.3201261","1.28125","0"
"61","2","candidate","1.3236932","1.28125","0"
"62","1","candidate","1.3321917","1.296875","0"
"62","2","parent","1.3488642","1.296875","0"
"63","1","parent","1.3190733","1.296875","0"
"63","2","candidate","1.3346234","1.3125","0"
"64","1","candidate","1.3114434","1.265625","0"
"64","2","parent","1.3158014","1.296875","0"
