"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4887668","1.421875","0"
"1","2","candidate","1.3426272","1.3125","0"
"2","1","candidate","1.4777816","1.3125","0"
"2","2","parent","1.349662","1.328125","0"
"3","1","parent","1.3313063","1.296875","0"
"3","2","candidate","1.4522443","1.28125","0"
"4","1","candidate","1.3217851","1.25","0"
"4","2","parent","1.4476869","1.390625","0"
"5","1","parent","1.4589761","1.375","0"
"5","2","candidate","1.3270315","1.3125","0"
"6","1","candidate","1.3331297","1.296875","0"
"6","2","parent","1.3237267","1.3125","0"
"7","1","parent","1.3307318","1.28125","0"
"7","2","candidate","1.3313955","1.296875","0"
"8","1","candidate","1.3368573","1.265625","0"
"8","2","parent","1.3372944","1.3125","0"
"9","1","parent","1.3733373","1.34375","0"
"9","2","candidate","1.3404048","1.328125","0"
"10","1","candidate","1.3549635","1.3125","0"
"10","2","parent","1.3052897","1.25","0"
"11","1","parent","1.3318245","1.3125","0"
"11","2","candidate","1.3314028","1.328125","0"
"12","1","candidate","1.3392375","1.3125","0"
"12","2","parent","1.3222546","1.28125","0"
"13","1","parent","1.3291275","1.3125","0"
"13","2","candidate","1.3231695","1.28125","0"
"14","1","candidate","1.3379167","1.328125","0"
"14","2","parent","1.3314131","1.328125","0"
"15","1","parent","1.3118657","1.296875","0"
"15","2","candidate","1.3178593","1.3125","0"
"16","1","candidate","1.3193599","1.296875","0"
"16","2","parent","1.332728","1.3125","0"
"17","1","parent","1.3175496","1.28125","0"
"17","2","candidate","1.3218042","1.265625","0"
"18","1","candidate","1.3657229","1.34375","0"
"18","2","parent","1.3380573","1.328125","0"
"19","1","parent","1.3253468","1.28125","0"
"19","2","candidate","1.3254715","1.3125","0"
"20","1","candidate","1.3469466","1.3125","0"
"20","2","parent","1.3201163","1.296875","0"
"21","1","parent","1.297479","1.28125","0"
"21","2","candidate","1.3133198","1.25","0"
"22","1","candidate","1.3306809","1.296875","0"
"22","2","parent","1.3267524","1.296875","0"
"23","1","parent","1.3341943","1.296875","0"
"23","2","candidate","1.3165034","1.28125","0"
"24","1","candidate","1.3146628","1.296875","0"
"24","2","parent","1.3583729","1.3125","0"
"25","1","parent","1.3955836","1.375","0"
"25","2","candidate","1.4034784","1.390625","0"
"26","1","candidate","1.5706054","1.546875","0"
"26","2","parent","1.4909589","1.46875","0"
"27","1","parent","1.532086","1.40625","0"
"27","2","candidate","1.3495028","1.328125","0"
"28","1","candidate","1.349276","1.296875","0"
"28","2","parent","1.3301612","1.28125","0"
"29","1","parent","1.3253302","1.296875","0"
"29","2","candidate","1.3192445","1.265625","0"
"30","1","candidate","1.375391","1.3125","0"
"30","2","parent","1.3597268","1.328125","0"
"31","1","parent","1.3553339","1.3125","0"
"31","2","candidate","1.3199383","1.234375","0"
"32","1","candidate","1.3499777","1.328125","0"
