"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4390531","1.40625","0"
"1","2","candidate","1.4889634","1.453125","0"
"2","1","candidate","1.4885926","1.46875","0"
"2","2","parent","1.5034988","1.4375","0"
"3","1","parent","1.367174","1.328125","0"
"3","2","candidate","1.35318","1.375","0"
"4","1","candidate","1.3549786","1.28125","0"
"4","2","parent","1.3918172","1.375","0"
"5","1","parent","1.3390323","1.28125","0"
"5","2","candidate","1.3633436","1.3125","0"
"6","1","candidate","1.3473554","1.328125","0"
"6","2","parent","1.3610318","1.3125","0"
"7","1","parent","1.3275943","1.265625","0"
"7","2","candidate","1.346518","1.328125","0"
"8","1","candidate","1.4594146","1.421875","0"
"8","2","parent","1.3358735","1.28125","0"
"9","1","parent","1.3412027","1.3125","0"
"9","2","candidate","1.3500435","1.3125","0"
"10","1","candidate","1.3800521","1.34375","0"
"10","2","parent","1.3528507","1.328125","0"
"11","1","parent","1.3615103","1.34375","0"
"11","2","candidate","1.3359031","1.296875","0"
"12","1","candidate","1.3166406","1.296875","0"
"12","2","parent","1.3743046","1.3125","0"
"13","1","parent","1.3180046","1.28125","0"
"13","2","candidate","1.3342806","1.3125","0"
"14","1","candidate","1.3512293","1.3125","0"
"14","2","parent","1.3163152","1.296875","0"
"15","1","parent","1.3135719","1.28125","0"
"15","2","candidate","1.4717758","1.453125","0"
"16","1","candidate","1.3337769","1.265625","0"
"16","2","parent","1.3154334","1.28125","0"
"17","1","parent","1.3149293","1.265625","0"
"17","2","candidate","1.3242972","1.296875","0"
"18","1","candidate","1.3229706","1.296875","0"
"18","2","parent","1.3251156","1.296875","0"
"19","1","parent","1.369913","1.296875","0"
"19","2","candidate","1.3514961","1.328125","0"
"20","1","candidate","1.3681629","1.375","0"
"20","2","parent","1.3319273","1.34375","0"
"21","1","parent","1.3223045","1.328125","0"
"21","2","candidate","1.3607749","1.328125","0"
"22","1","candidate","1.3265442","1.28125","0"
"22","2","parent","1.3225924","1.3125","0"
"23","1","parent","1.3224493","1.328125","0"
"23","2","candidate","1.3354865","1.3125","0"
"24","1","candidate","1.4476562","1.421875","0"
"24","2","parent","1.326969","1.28125","0"
"25","1","parent","1.3219804","1.28125","0"
"25","2","candidate","1.3283069","1.296875","0"
"26","1","candidate","1.3446262","1.328125","0"
"26","2","parent","1.326842","1.234375","0"
"27","1","parent","1.4844317","1.453125","0"
"27","2","candidate","1.4491814","1.40625","0"
"28","1","candidate","1.4329257","1.40625","0"
"28","2","parent","1.3474971","1.296875","0"
"29","1","parent","1.3715589","1.375","0"
"29","2","candidate","1.3251133","1.25","0"
"30","1","candidate","1.334477","1.296875","0"
"30","2","parent","1.3260707","1.265625","0"
"31","1","parent","1.4199587","1.359375","0"
"31","2","candidate","1.3398103","1.328125","0"
"32","1","candidate","1.3350234","1.265625","0"
"32","2","parent","1.3235706","1.265625","0"
"33","1","parent","1.3354045","1.296875","0"
"33","2","candidate","1.3310952","1.3125","0"
"34","1","candidate","1.3300496","1.328125","0"
"34","2","parent","1.3237485","1.3125","0"
"35","1","parent","1.3068915","1.296875","0"
"35","2","candidate","1.3383639","1.3125","0"
"36","1","candidate","1.319309","1.3125","0"
"36","2","parent","1.3090887","1.28125","0"
"37","1","parent","1.3777326","1.34375","0"
"37","2","candidate","1.3221944","1.328125","0"
"38","1","candidate","1.3691191","1.359375","0"
"38","2","parent","1.3067374","1.25","0"
"39","1","parent","1.3285051","1.28125","0"
"39","2","candidate","1.3254005","1.296875","0"
"40","1","candidate","1.3044341","1.28125","0"
"40","2","parent","1.3314105","1.3125","0"
"41","1","parent","1.4132354","1.21875","0"
"41","2","candidate","1.3156872","1.265625","0"
"42","1","candidate","1.3357534","1.296875","0"
"42","2","parent","1.330039","1.328125","0"
"43","1","parent","1.2894944","1.25","0"
"43","2","candidate","1.3198345","1.296875","0"
"44","1","candidate","1.3184212","1.296875","0"
"44","2","parent","1.3193984","1.296875","0"
"45","1","parent","1.3023896","1.296875","0"
"45","2","candidate","1.3473852","1.34375","0"
"46","1","candidate","1.367812","1.34375","0"
"46","2","parent","1.4478662","1.40625","0"
"47","1","parent","1.3459743","1.3125","0"
"47","2","candidate","1.3267411","1.25","0"
"48","1","candidate","1.3277265","1.3125","0"
"48","2","parent","1.3287596","1.3125","0"
"49","1","parent","1.3152754","1.25","0"
"49","2","candidate","1.4296223","1.421875","0"
"50","1","candidate","1.3302916","1.3125","0"
"50","2","parent","1.3076779","1.25","0"
"51","1","parent","1.3232281","1.265625","0"
"51","2","candidate","1.3338813","1.3125","0"
"52","1","candidate","1.3287956","1.28125","0"
"52","2","parent","1.4322273","1.25","0"
"53","1","parent","1.425377","1.390625","0"
"53","2","candidate","1.5184092","1.53125","0"
"54","1","candidate","1.5659551","1.40625","0"
"54","2","parent","1.4824739","1.3125","0"
"55","1","parent","1.401732","1.390625","0"
"55","2","candidate","1.3625093","1.34375","0"
"56","1","candidate","1.3503013","1.328125","0"
"56","2","parent","1.3190218","1.265625","0"
"57","1","parent","1.3370974","1.296875","0"
"57","2","candidate","1.3611132","1.328125","0"
"58","1","candidate","1.3547909","1.328125","0"
"58","2","parent","1.3329148","1.3125","0"
"59","1","parent","1.3180803","1.28125","0"
"59","2","candidate","1.326372","1.28125","0"
"60","1","candidate","1.3401403","1.296875","0"
"60","2","parent","1.3174929","1.28125","0"
"61","1","parent","1.3093925","1.28125","0"
"61","2","candidate","1.3412226","1.328125","0"
"62","1","candidate","1.332221","1.3125","0"
