"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4568961","1.4375","0"
"1","2","candidate","1.4656146","1.453125","0"
"2","1","candidate","1.4549673","1.421875","0"
"2","2","parent","1.398736","1.40625","0"
"3","1","parent","1.4738429","1.4375","0"
"3","2","candidate","1.4194847","1.40625","0"
"4","1","candidate","1.5172588","1.484375","0"
"4","2","parent","1.381551","1.359375","0"
"5","1","parent","1.5106618","1.5","0"
"5","2","candidate","1.5855262","1.421875","0"
"6","1","candidate","1.4469755","1.421875","0"
"6","2","parent","1.4627608","1.421875","0"
"7","1","parent","1.4776743","1.453125","0"
"7","2","candidate","1.4948204","1.421875","0"
"8","1","candidate","1.4636379","1.46875","0"
"8","2","parent","1.4568986","1.453125","0"
"9","1","parent","1.4612243","1.40625","0"
"9","2","candidate","1.4678728","1.46875","0"
"10","1","candidate","1.6202761","1.59375","0"
"10","2","parent","1.3526923","1.328125","0"
"11","1","parent","1.4908572","1.4375","0"
"11","2","candidate","1.4642912","1.4375","0"
"12","1","candidate","1.4926159","1.4375","0"
"12","2","parent","1.4713143","1.453125","0"
"13","1","parent","1.4236651","1.40625","0"
"13","2","candidate","1.4996977","1.453125","0"
"14","1","candidate","1.4853317","1.4375","0"
"14","2","parent","1.4594975","1.4375","0"
"15","1","parent","1.4546866","1.421875","0"
"15","2","candidate","1.4304497","1.421875","0"
"16","1","candidate","1.4899876","1.46875","0"
"16","2","parent","1.4245852","1.375","0"
"17","1","parent","1.3842407","1.359375","0"
"17","2","candidate","1.4664495","1.453125","0"
"18","1","candidate","1.3458011","1.3125","0"
"18","2","parent","1.3416538","1.3125","0"
"19","1","parent","1.3228826","1.3125","0"
"19","2","candidate","1.3393298","1.328125","0"
"20","1","candidate","1.3404646","1.265625","0"
"20","2","parent","1.4271959","1.359375","0"
"21","1","parent","1.4868686","1.46875","0"
"21","2","candidate","1.5491296","1.359375","0"
"22","1","candidate","1.3829542","1.359375","0"
"22","2","parent","1.3242372","1.328125","0"
"23","1","parent","1.4862745","1.3125","0"
"23","2","candidate","1.3289036","1.3125","0"
"24","1","candidate","1.3178087","1.28125","0"
"24","2","parent","1.4532455","1.296875","0"
"25","1","parent","1.3399813","1.3125","0"
"25","2","candidate","1.3432302","1.28125","0"
"26","1","candidate","1.4565049","1.4375","0"
"26","2","parent","1.3732003","1.359375","0"
