"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.473533","1.421875","0"
"1","2","candidate","1.4760579","1.484375","0"
"2","1","candidate","1.5044072","1.5","0"
"2","2","parent","1.3759619","1.359375","0"
"3","1","parent","1.3737302","1.359375","0"
"3","2","candidate","1.3525566","1.296875","0"
"4","1","candidate","1.3453497","1.328125","0"
"4","2","parent","1.3310919","1.3125","0"
"5","1","parent","1.3602935","1.25","0"
"5","2","candidate","1.3603829","1.328125","0"
"6","1","candidate","1.3449777","1.3125","0"
"6","2","parent","1.3454741","1.296875","0"
"7","1","parent","1.3336031","1.296875","0"
"7","2","candidate","1.3428069","1.3125","0"
"8","1","candidate","1.3588405","1.34375","0"
"8","2","parent","1.3728223","1.359375","0"
"9","1","parent","1.3497147","1.359375","0"
"9","2","candidate","1.3572389","1.328125","0"
"10","1","candidate","1.360326","1.328125","0"
"10","2","parent","1.3344414","1.28125","0"
"11","1","parent","1.3417236","1.328125","0"
"11","2","candidate","1.333511","1.296875","0"
"12","1","candidate","1.3372641","1.3125","0"
"12","2","parent","1.3189965","1.28125","0"
"13","1","parent","1.3387539","1.296875","0"
"13","2","candidate","1.3447672","1.3125","0"
"14","1","candidate","1.3416576","1.34375","0"
"14","2","parent","1.3284801","1.28125","0"
"15","1","parent","1.3224618","1.296875","0"
"15","2","candidate","1.3294841","1.3125","0"
"16","1","candidate","1.3211985","1.265625","0"
"16","2","parent","1.3081945","1.28125","0"
"17","1","parent","1.3356504","1.28125","0"
"17","2","candidate","1.340853","1.3125","0"
"18","1","candidate","1.3623539","1.3125","0"
"18","2","parent","1.4596742","1.3125","0"
"19","1","parent","1.3495291","1.34375","0"
"19","2","candidate","1.366621","1.34375","0"
"20","1","candidate","1.5290781","1.515625","0"
"20","2","parent","1.4187204","1.421875","0"
"21","1","parent","1.3298038","1.296875","0"
"21","2","candidate","1.3267659","1.3125","0"
"22","1","candidate","1.3318979","1.28125","0"
"22","2","parent","1.312802","1.265625","0"
"23","1","parent","1.3904172","1.34375","0"
"23","2","candidate","1.3256084","1.3125","0"
"24","1","candidate","1.3388121","1.296875","0"
"24","2","parent","1.3466818","1.3125","0"
"25","1","parent","1.3319542","1.3125","0"
"25","2","candidate","1.3389854","1.34375","0"
"26","1","candidate","1.3306038","1.3125","0"
"26","2","parent","1.3573564","1.34375","0"
"27","1","parent","1.3458054","1.328125","0"
"27","2","candidate","1.4896575","1.3125","0"
"28","1","candidate","1.3212401","1.296875","0"
"28","2","parent","1.313791","1.28125","0"
"29","1","parent","1.3537296","1.34375","0"
"29","2","candidate","1.3498102","1.28125","0"
"30","1","candidate","1.3371846","1.296875","0"
"30","2","parent","1.3246017","1.28125","0"
"31","1","parent","1.3187092","1.328125","0"
"31","2","candidate","1.3621634","1.359375","0"
"32","1","candidate","1.3532739","1.296875","0"
"32","2","parent","1.3183033","1.296875","0"
"33","1","parent","1.3448042","1.3125","0"
"33","2","candidate","1.3757176","1.296875","0"
"34","1","candidate","1.3346631","1.3125","0"
"34","2","parent","1.4547973","1.4375","0"
"35","1","parent","1.3308724","1.3125","0"
"35","2","candidate","1.3993936","1.34375","0"
"36","1","candidate","1.3337858","1.296875","0"
"36","2","parent","1.3688996","1.328125","0"
"37","1","parent","1.3277009","1.3125","0"
"37","2","candidate","1.3591377","1.3125","0"
"38","1","candidate","1.3370081","1.34375","0"
"38","2","parent","1.3188138","1.3125","0"
"39","1","parent","1.3294347","1.28125","0"
"39","2","candidate","1.3657048","1.328125","0"
"40","1","candidate","1.3687393","1.328125","0"
"40","2","parent","1.3845781","1.3125","0"
"41","1","parent","1.3249631","1.296875","0"
"41","2","candidate","1.3383508","1.3125","0"
"42","1","candidate","1.3405578","1.296875","0"
"42","2","parent","1.3421097","1.28125","0"
"43","1","parent","1.3203149","1.328125","0"
"43","2","candidate","1.3379557","1.328125","0"
"44","1","candidate","1.3773981","1.359375","0"
"44","2","parent","1.4223361","1.34375","0"
"45","1","parent","1.5699651","1.40625","0"
"45","2","candidate","1.5510666","1.53125","0"
"46","1","candidate","1.4188481","1.390625","0"
"46","2","parent","1.3451731","1.296875","0"
"47","1","parent","1.3323316","1.3125","0"
"47","2","candidate","1.3336879","1.3125","0"
"48","1","candidate","1.3497129","1.328125","0"
"48","2","parent","1.3292215","1.28125","0"
"49","1","parent","1.3338267","1.296875","0"
"49","2","candidate","1.3665813","1.3125","0"
"50","1","candidate","1.3476913","1.328125","0"
"50","2","parent","1.3279968","1.296875","0"
"51","1","parent","1.4532006","1.4375","0"
"51","2","candidate","1.343231","1.328125","0"
"52","1","candidate","1.3381627","1.296875","0"
"52","2","parent","1.3259326","1.296875","0"
"53","1","parent","1.3613544","1.359375","0"
"53","2","candidate","1.3587659","1.34375","0"
"54","1","candidate","1.3775184","1.34375","0"
"54","2","parent","1.3366173","1.265625","0"
"55","1","parent","1.4477551","1.390625","0"
"55","2","candidate","1.3505145","1.21875","0"
"56","1","candidate","1.3351922","1.328125","0"
"56","2","parent","1.3224219","1.3125","0"
"57","1","parent","1.3364759","1.3125","0"
"57","2","candidate","1.3510753","1.3125","0"
"58","1","candidate","1.3347522","1.203125","0"
"58","2","parent","1.47146","1.453125","0"
"59","1","parent","1.3198222","1.296875","0"
"59","2","candidate","1.3184136","1.3125","0"
"60","1","candidate","1.3308831","1.3125","0"
"60","2","parent","1.4324705","1.28125","0"
"61","1","parent","1.3161062","1.28125","0"
"61","2","candidate","1.4443733","1.421875","0"
"62","1","candidate","1.38134","1.375","0"
"62","2","parent","1.3346006","1.3125","0"
"63","1","parent","1.3430057","1.328125","0"
"63","2","candidate","1.3103787","1.28125","0"
"64","1","candidate","1.328296","1.296875","0"
"64","2","parent","1.3208916","1.3125","0"
