"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.50021","1.453125","0"
"1","2","candidate","1.4055018","1.390625","0"
"2","1","candidate","1.435993","1.421875","0"
"2","2","parent","1.4703818","1.421875","0"
"3","1","parent","1.4688362","1.453125","0"
"3","2","candidate","1.3591852","1.328125","0"
"4","1","candidate","1.3177503","1.265625","0"
"4","2","parent","1.4600138","1.421875","0"
"5","1","parent","1.3384736","1.3125","0"
"5","2","candidate","1.3287586","1.28125","0"
"6","1","candidate","1.31951","1.3125","0"
"6","2","parent","1.3378691","1.328125","0"
"7","1","parent","1.3475778","1.34375","0"
"7","2","candidate","1.3171883","1.265625","0"
"8","1","candidate","1.3095402","1.25","0"
"8","2","parent","1.3561204","1.375","0"
"9","1","parent","1.35317","1.296875","0"
"9","2","candidate","1.3314963","1.3125","0"
"10","1","candidate","1.3222834","1.3125","0"
"10","2","parent","1.3650436","1.34375","0"
"11","1","parent","1.3582588","1.3125","0"
"11","2","candidate","1.3697746","1.34375","0"
"12","1","candidate","1.3095308","1.265625","0"
"12","2","parent","1.3306748","1.28125","0"
"13","1","parent","1.3458068","1.296875","0"
"13","2","candidate","1.3142759","1.265625","0"
"14","1","candidate","1.3003656","1.234375","0"
"14","2","parent","1.3772163","1.359375","0"
"15","1","parent","1.340818","1.3125","0"
"15","2","candidate","1.3055203","1.25","0"
"16","1","candidate","1.3060839","1.265625","0"
"16","2","parent","1.3340171","1.3125","0"
"17","1","parent","1.3484406","1.296875","0"
"17","2","candidate","1.3151194","1.28125","0"
"18","1","candidate","1.301665","1.25","0"
"18","2","parent","1.398186","1.375","0"
"19","1","parent","1.331108","1.3125","0"
"19","2","candidate","1.3341811","1.328125","0"
"20","1","candidate","1.4455839","1.28125","0"
"20","2","parent","1.3559176","1.296875","0"
"21","1","parent","1.3162002","1.3125","0"
"21","2","candidate","1.2941798","1.25","0"
"22","1","candidate","1.2934225","1.25","0"
"22","2","parent","1.3343286","1.3125","0"
"23","1","parent","1.3375894","1.3125","0"
"23","2","candidate","1.3135096","1.28125","0"
"24","1","candidate","1.3749736","1.359375","0"
"24","2","parent","1.5101667","1.46875","0"
"25","1","parent","1.5186769","1.328125","0"
"25","2","candidate","1.3470992","1.3125","0"
"26","1","candidate","1.2991345","1.28125","0"
"26","2","parent","1.3165117","1.28125","0"
"27","1","parent","1.3566226","1.328125","0"
"27","2","candidate","1.3255966","1.28125","0"
"28","1","candidate","1.2936351","1.265625","0"
"28","2","parent","1.4747263","1.328125","0"
"29","1","parent","1.3544368","1.34375","0"
"29","2","candidate","1.3376577","1.34375","0"
"30","1","candidate","1.3176484","1.25","0"
"30","2","parent","1.3443733","1.34375","0"
"31","1","parent","1.3421995","1.328125","0"
"31","2","candidate","1.3043557","1.234375","0"
"32","1","candidate","1.3115135","1.25","0"
"32","2","parent","1.3562041","1.328125","0"
"33","1","parent","1.3310864","1.265625","0"
"33","2","candidate","1.3055177","1.21875","0"
"34","1","candidate","1.3245518","1.296875","0"
"34","2","parent","1.3452088","1.328125","0"
"35","1","parent","1.3413495","1.34375","0"
"35","2","candidate","1.3168888","1.28125","0"
"36","1","candidate","1.3451068","1.34375","0"
"36","2","parent","1.3764864","1.34375","0"
"37","1","parent","1.3501904","1.328125","0"
"37","2","candidate","1.3371199","1.28125","0"
