"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.2918786","2.203125","0"
"1","2","candidate","1.65341","1.609375","0"
"2","1","candidate","1.4820866","1.453125","0"
"2","2","parent","1.4618913","1.453125","0"
"3","1","parent","1.6226175","1.453125","0"
"3","2","candidate","1.4717225","1.4375","0"
"4","1","candidate","1.447713","1.421875","0"
"4","2","parent","1.4241748","1.390625","0"
"5","1","parent","1.4167381","1.390625","0"
"5","2","candidate","1.4030829","1.375","0"
"6","1","candidate","1.4181352","1.390625","0"
"6","2","parent","1.4332463","1.40625","0"
"7","1","parent","1.4346981","1.34375","0"
"7","2","candidate","1.4026701","1.34375","0"
"8","1","candidate","1.4144441","1.375","0"
"8","2","parent","1.4183975","1.40625","0"
"9","1","parent","1.4294338","1.359375","0"
"9","2","candidate","1.5766189","1.484375","0"
"10","1","candidate","2.1265403","1.875","0"
"10","2","parent","1.9610857","1.921875","0"
"11","1","parent","1.5694793","1.546875","0"
"11","2","candidate","1.4666168","1.40625","0"
"12","1","candidate","1.5611098","1.546875","0"
"12","2","parent","1.695753","1.609375","0"
"13","1","parent","3.7333975","2.1875","0"
"13","2","candidate","1.6416335","1.578125","0"
"14","1","candidate","1.6387441","1.609375","0"
"14","2","parent","1.5774152","1.515625","0"
"15","1","parent","1.5427023","1.46875","0"
"15","2","candidate","1.5287217","1.484375","0"
"16","1","candidate","1.5649521","1.5","0"
"16","2","parent","1.5136558","1.484375","0"
"17","1","parent","1.5774547","1.5625","0"
"17","2","candidate","1.5489421","1.5","0"
"18","1","candidate","1.5645078","1.546875","0"
"18","2","parent","1.7417122","1.71875","0"
"19","1","parent","1.6482419","1.578125","0"
"19","2","candidate","1.6396225","1.578125","0"
"20","1","candidate","1.5838269","1.546875","0"
"20","2","parent","1.5221934","1.46875","0"
"21","1","parent","1.4457808","1.4375","0"
"21","2","candidate","1.4408263","1.4375","0"
"22","1","candidate","1.4913921","1.4375","0"
"22","2","parent","1.4570539","1.4375","0"
"23","1","parent","1.4493783","1.40625","0"
"23","2","candidate","1.4035884","1.390625","0"
"24","1","candidate","1.6484338","1.609375","0"
"24","2","parent","1.5956199","1.53125","0"
"25","1","parent","1.4952534","1.421875","0"
"25","2","candidate","1.6370682","1.546875","0"
"26","1","candidate","1.5951903","1.546875","0"
"26","2","parent","1.5527023","1.4375","0"
"27","1","parent","1.6344512","1.5625","0"
"27","2","candidate","1.5915315","1.5","0"
"28","1","candidate","1.623183","1.5625","0"
"28","2","parent","1.6307559","1.578125","0"
"29","1","parent","1.835229","1.75","0"
"29","2","candidate","1.6425772","1.609375","0"
"30","1","candidate","1.5633204","1.546875","0"
"30","2","parent","1.5757893","1.484375","0"
"31","1","parent","1.5771701","1.5625","0"
"31","2","candidate","1.6314051","1.578125","0"
"32","1","candidate","1.5528381","1.5","0"
"32","2","parent","1.5902244","1.484375","0"
"33","1","parent","1.585625","1.53125","0"
"33","2","candidate","1.6194813","1.5625","0"
"34","1","candidate","1.7303424","1.53125","0"
"34","2","parent","1.5899255","1.515625","0"
"35","1","parent","1.5405853","1.5","0"
"35","2","candidate","1.581405","1.546875","0"
"36","1","candidate","1.6960792","1.625","0"
"36","2","parent","1.5336162","1.4375","0"
"37","1","parent","1.4911179","1.4375","0"
"37","2","candidate","1.7790655","1.734375","0"
"38","1","candidate","2.0627494","1.65625","0"
"38","2","parent","1.6839536","1.609375","0"
"39","1","parent","1.810386","1.765625","0"
"39","2","candidate","1.8894738","1.8125","0"
"40","1","candidate","1.903051","1.828125","0"
"40","2","parent","1.6806741","1.625","0"
"41","1","parent","1.5229296","1.484375","0"
"41","2","candidate","1.5571734","1.53125","0"
"42","1","candidate","1.501176","1.46875","0"
"42","2","parent","1.6126907","1.5","0"
"43","1","parent","1.6825713","1.625","0"
"43","2","candidate","1.6761405","1.5625","0"
"44","1","candidate","1.6136881","1.5625","0"
"44","2","parent","1.5191018","1.453125","0"
"45","1","parent","1.5122512","1.453125","0"
"45","2","candidate","1.5179579","1.453125","0"
"46","1","candidate","1.5691818","1.5","0"
"46","2","parent","1.5197019","1.484375","0"
"47","1","parent","1.5260951","1.40625","0"
"47","2","candidate","1.5429872","1.484375","0"
"48","1","candidate","1.5072573","1.390625","0"
"48","2","parent","1.5660781","1.515625","0"
"49","1","parent","1.5199212","1.46875","0"
"49","2","candidate","1.5003492","1.4375","0"
"50","1","candidate","1.608161","1.53125","0"
"50","2","parent","1.6989516","1.671875","0"
"51","1","parent","1.6284942","1.5625","0"
"51","2","candidate","1.5898783","1.53125","0"
"52","1","candidate","1.6139308","1.53125","0"
"52","2","parent","1.5469577","1.5","0"
"53","1","parent","1.550488","1.515625","0"
"53","2","candidate","1.5615055","1.546875","0"
"54","1","candidate","1.5702263","1.484375","0"
"54","2","parent","1.544582","1.53125","0"
"55","1","parent","1.7125494","1.671875","0"
"55","2","candidate","1.6932591","1.609375","0"
"56","1","candidate","1.6248248","1.59375","0"
"56","2","parent","1.5995996","1.578125","0"
"57","1","parent","1.6209148","1.546875","0"
"57","2","candidate","1.5735888","1.546875","0"
"58","1","candidate","1.5667887","1.5","0"
"58","2","parent","1.5507326","1.484375","0"
"59","1","parent","1.5454554","1.5","0"
"59","2","candidate","1.5686898","1.53125","0"
"60","1","candidate","1.5647688","1.53125","0"
"60","2","parent","1.5647793","1.515625","0"
"61","1","parent","1.5358858","1.46875","0"
"61","2","candidate","1.5934806","1.484375","0"
"62","1","candidate","1.5836526","1.546875","0"
"62","2","parent","1.6486667","1.609375","0"
"63","1","parent","1.5706379","1.53125","0"
"63","2","candidate","1.5881166","1.5625","0"
"64","1","candidate","1.5345879","1.515625","0"
"64","2","parent","1.567857","1.53125","0"
