"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.538602","1.5","0"
"1","2","candidate","1.4155624","1.390625","0"
"2","1","candidate","1.5165149","1.5","0"
"2","2","parent","1.5700753","1.546875","0"
"3","1","parent","1.6934023","1.671875","0"
"3","2","candidate","1.52401","1.484375","0"
"4","1","candidate","1.5122678","1.484375","0"
"4","2","parent","1.4371358","1.421875","0"
"5","1","parent","1.5110859","1.515625","0"
"5","2","candidate","1.552862","1.53125","0"
"6","1","candidate","1.4069609","1.40625","0"
"6","2","parent","1.4012583","1.34375","0"
"7","1","parent","1.4024496","1.390625","0"
"7","2","candidate","1.3759435","1.328125","0"
"8","1","candidate","1.3992261","1.34375","0"
"8","2","parent","1.4005821","1.34375","0"
"9","1","parent","1.4470397","1.40625","0"
"9","2","candidate","1.4972801","1.5","0"
"10","1","candidate","1.8930448","1.671875","0"
"10","2","parent","1.514471","1.4375","0"
"11","1","parent","1.4197867","1.375","0"
"11","2","candidate","1.3711756","1.34375","0"
"12","1","candidate","1.4308906","1.421875","0"
"12","2","parent","1.4587488","1.4375","0"
"13","1","parent","1.4371409","1.4375","0"
"13","2","candidate","1.4316473","1.375","0"
"14","1","candidate","1.5870687","1.546875","0"
"14","2","parent","1.5854901","1.5625","0"
"15","1","parent","1.4760685","1.453125","0"
"15","2","candidate","1.4268297","1.40625","0"
"16","1","candidate","1.394218","1.375","0"
"16","2","parent","1.3533001","1.328125","0"
"17","1","parent","1.5053694","1.34375","0"
"17","2","candidate","1.3611314","1.359375","0"
"18","1","candidate","1.3488338","1.296875","0"
"18","2","parent","1.3802942","1.34375","0"
"19","1","parent","1.3982254","1.40625","0"
"19","2","candidate","1.3617531","1.34375","0"
"20","1","candidate","1.353006","1.328125","0"
"20","2","parent","1.4058998","1.375","0"
"21","1","parent","1.3795763","1.34375","0"
"21","2","candidate","1.32668","1.296875","0"
"22","1","candidate","1.4239307","1.40625","0"
"22","2","parent","1.44699","1.40625","0"
"23","1","parent","1.4819752","1.484375","0"
"23","2","candidate","1.417447","1.375","0"
"24","1","candidate","1.3593751","1.3125","0"
"24","2","parent","1.4028788","1.40625","0"
"25","1","parent","1.3297391","1.3125","0"
"25","2","candidate","1.3946871","1.390625","0"
"26","1","candidate","1.3496516","1.34375","0"
"26","2","parent","1.4553283","1.421875","0"
"27","1","parent","1.7234623","1.671875","0"
"27","2","candidate","1.4736803","1.4375","0"
"28","1","candidate","1.6631586","1.640625","0"
"28","2","parent","1.5149219","1.484375","0"
"29","1","parent","1.5343598","1.5","0"
"29","2","candidate","1.4235069","1.40625","0"
"30","1","candidate","1.5309839","1.46875","0"
"30","2","parent","2.4612514","2.421875","0"
"31","1","parent","1.9466893","1.890625","0"
"31","2","candidate","2.1606184","2.078125","0"
"32","1","candidate","2.1748716","1.96875","0"
"32","2","parent","2.0570334","1.96875","0"
"33","1","parent","2.0222585","1.921875","0"
"33","2","candidate","1.6448119","1.609375","0"
"34","1","candidate","1.6916145","1.671875","0"
