"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.6525087","1.625","0"
"1","2","candidate","1.5372952","1.515625","0"
"2","1","candidate","1.5757571","1.546875","0"
"2","2","parent","1.859029","1.828125","0"
"3","1","parent","1.6758024","1.65625","0"
"3","2","candidate","1.5901894","1.5625","0"
"4","1","candidate","1.5774457","1.546875","0"
"4","2","parent","1.563059","1.5","0"
"5","1","parent","1.8799135","1.84375","0"
"5","2","candidate","1.9286388","1.859375","0"
"6","1","candidate","1.9002947","1.875","0"
"6","2","parent","1.7707529","1.703125","0"
"7","1","parent","1.7526747","1.703125","0"
"7","2","candidate","1.7052748","1.671875","0"
"8","1","candidate","1.6537626","1.640625","0"
"8","2","parent","1.6182982","1.578125","0"
"9","1","parent","1.6054465","1.578125","0"
"9","2","candidate","1.7217278","1.671875","0"
"10","1","candidate","1.5689448","1.546875","0"
"10","2","parent","1.6852007","1.515625","0"
"11","1","parent","1.5494011","1.53125","0"
"11","2","candidate","1.6934023","1.6875","0"
"12","1","candidate","1.9049146","1.84375","0"
"12","2","parent","2.0988257","2.046875","0"
"13","1","parent","2.050163","2","0"
"13","2","candidate","2.4434793","2.21875","0"
"14","1","candidate","2.0335697","2","0"
"14","2","parent","1.7695562","1.6875","0"
"15","1","parent","1.6323093","1.625","0"
"15","2","candidate","1.5390891","1.484375","0"
"16","1","candidate","1.5661114","1.53125","0"
"16","2","parent","1.5329301","1.515625","0"
"17","1","parent","1.5560401","1.546875","0"
"17","2","candidate","1.7015345","1.515625","0"
"18","1","candidate","1.6365223","1.59375","0"
"18","2","parent","1.5553456","1.546875","0"
"19","1","parent","1.5585852","1.53125","0"
"19","2","candidate","1.5034548","1.484375","0"
"20","1","candidate","1.5122379","1.46875","0"
"20","2","parent","1.51402","1.453125","0"
"21","1","parent","1.5903686","1.546875","0"
"21","2","candidate","1.6010489","1.578125","0"
"22","1","candidate","1.6463654","1.609375","0"
"22","2","parent","1.7796738","1.765625","0"
"23","1","parent","1.6521348","1.5625","0"
"23","2","candidate","1.6213845","1.421875","0"
"24","1","candidate","1.5065618","1.453125","0"
"24","2","parent","1.6524817","1.609375","0"
"25","1","parent","1.5045863","1.515625","0"
"25","2","candidate","1.7971439","1.734375","0"
"26","1","candidate","1.6076504","1.5625","0"
"26","2","parent","1.6573505","1.59375","0"
"27","1","parent","1.6062564","1.59375","0"
"27","2","candidate","1.6265305","1.609375","0"
"28","1","candidate","1.5876852","1.5625","0"
"28","2","parent","1.5382135","1.484375","0"
"29","1","parent","1.6401204","1.578125","0"
"29","2","candidate","1.5520502","1.5","0"
"30","1","candidate","1.5914903","1.578125","0"
"30","2","parent","1.5872066","1.546875","0"
"31","1","parent","1.8413284","1.8125","0"
"31","2","candidate","1.8639204","1.828125","0"
"32","1","candidate","1.7120935","1.65625","0"
"32","2","parent","1.6323937","1.578125","0"
"33","1","parent","1.5250749","1.484375","0"
"33","2","candidate","1.4907236","1.46875","0"
"34","1","candidate","1.5365347","1.515625","0"
"34","2","parent","1.5356925","1.5","0"
"35","1","parent","1.5309732","1.484375","0"
"35","2","candidate","1.5013252","1.4375","0"
"36","1","candidate","1.4911455","1.484375","0"
"36","2","parent","1.6402047","1.609375","0"
"37","1","parent","1.5072867","1.5","0"
"37","2","candidate","1.4909957","1.421875","0"
"38","1","candidate","1.4865924","1.4375","0"
"38","2","parent","1.7130576","1.71875","0"
"39","1","parent","1.6840111","1.65625","0"
"39","2","candidate","1.5501986","1.515625","0"
"40","1","candidate","1.5252628","1.5","0"
"40","2","parent","1.5449385","1.53125","0"
"41","1","parent","1.7803652","1.71875","0"
"41","2","candidate","1.7173859","1.65625","0"
"42","1","candidate","1.5685219","1.5","0"
"42","2","parent","1.6362618","1.59375","0"
"43","1","parent","1.5398018","1.5","0"
"43","2","candidate","1.5195361","1.484375","0"
"44","1","candidate","1.5090016","1.5","0"
"44","2","parent","1.5486526","1.53125","0"
"45","1","parent","1.510205","1.46875","0"
"45","2","candidate","1.5853049","1.5625","0"
"46","1","candidate","1.6900508","1.640625","0"
"46","2","parent","1.5121307","1.5","0"
"47","1","parent","1.5244958","1.484375","0"
"47","2","candidate","1.6628957","1.578125","0"
"48","1","candidate","1.4916853","1.46875","0"
"48","2","parent","1.4805363","1.46875","0"
"49","1","parent","1.5346956","1.515625","0"
"49","2","candidate","1.5129539","1.515625","0"
"50","1","candidate","1.4906496","1.46875","0"
"50","2","parent","1.8753176","1.78125","0"
"51","1","parent","1.7010239","1.65625","0"
"51","2","candidate","1.5159204","1.5","0"
"52","1","candidate","1.5163237","1.484375","0"
"52","2","parent","1.5541638","1.53125","0"
"53","1","parent","1.4809525","1.46875","0"
"53","2","candidate","1.4652236","1.4375","0"
"54","1","candidate","1.5291797","1.515625","0"
"54","2","parent","1.5008625","1.5","0"
"55","1","parent","1.487659","1.453125","0"
"55","2","candidate","1.5770821","1.546875","0"
"56","1","candidate","1.6195757","1.5625","0"
"56","2","parent","1.6082791","1.46875","0"
"57","1","parent","1.4839386","1.484375","0"
"57","2","candidate","1.4615033","1.390625","0"
"58","1","candidate","1.4663578","1.4375","0"
"58","2","parent","1.4688094","1.4375","0"
"59","1","parent","1.5188159","1.5","0"
"59","2","candidate","1.6600455","1.640625","0"
"60","1","candidate","2.0819886","2.046875","0"
"60","2","parent","1.8722015","1.859375","0"
"61","1","parent","1.6042652","1.5625","0"
"61","2","candidate","1.5099324","1.5","0"
"62","1","candidate","1.6227098","1.59375","0"
"62","2","parent","1.6289046","1.59375","0"
"63","1","parent","1.5051792","1.46875","0"
"63","2","candidate","1.4900906","1.453125","0"
"64","1","candidate","1.5002407","1.484375","0"
"64","2","parent","1.536054","1.5","0"
