"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7510906","1.703125","0"
"1","2","candidate","1.5333563","1.5","0"
"2","1","candidate","1.576186","1.53125","0"
"2","2","parent","1.501521","1.5","0"
"3","1","parent","1.4926521","1.4375","0"
"3","2","candidate","1.5207385","1.515625","0"
"4","1","candidate","1.527188","1.515625","0"
"4","2","parent","1.4965835","1.46875","0"
"5","1","parent","1.5347502","1.484375","0"
"5","2","candidate","1.6075146","1.59375","0"
"6","1","candidate","1.5418795","1.546875","0"
"6","2","parent","1.5168535","1.46875","0"
"7","1","parent","1.4577085","1.453125","0"
"7","2","candidate","1.544954","1.515625","0"
"8","1","candidate","1.5027409","1.484375","0"
"8","2","parent","1.7033817","1.65625","0"
"9","1","parent","1.8001678","1.703125","0"
"9","2","candidate","1.613167","1.5625","0"
"10","1","candidate","1.6288695","1.578125","0"
"10","2","parent","1.6759275","1.65625","0"
"11","1","parent","1.5356487","1.5","0"
"11","2","candidate","1.6039446","1.578125","0"
"12","1","candidate","1.4680601","1.421875","0"
"12","2","parent","1.4964888","1.4375","0"
"13","1","parent","1.474446","1.453125","0"
"13","2","candidate","1.5994327","1.4375","0"
"14","1","candidate","1.504247","1.46875","0"
"14","2","parent","1.4655219","1.4375","0"
"15","1","parent","1.5529979","1.515625","0"
"15","2","candidate","1.6055268","1.578125","0"
"16","1","candidate","1.5467498","1.5","0"
"16","2","parent","1.4917791","1.46875","0"
"17","1","parent","1.5418513","1.53125","0"
"17","2","candidate","1.4838117","1.453125","0"
"18","1","candidate","1.4904546","1.4375","0"
"18","2","parent","1.5671316","1.515625","0"
"19","1","parent","1.5249942","1.484375","0"
"19","2","candidate","1.5845068","1.546875","0"
"20","1","candidate","1.7790989","1.75","0"
"20","2","parent","1.6272999","1.578125","0"
"21","1","parent","1.5034298","1.46875","0"
"21","2","candidate","1.6482747","1.625","0"
"22","1","candidate","1.4956566","1.46875","0"
"22","2","parent","1.556745","1.53125","0"
"23","1","parent","1.5219968","1.484375","0"
"23","2","candidate","1.5159744","1.4375","0"
"24","1","candidate","1.4717369","1.421875","0"
"24","2","parent","1.4993342","1.46875","0"
"25","1","parent","1.6205327","1.609375","0"
"25","2","candidate","1.4877478","1.46875","0"
"26","1","candidate","1.4706261","1.453125","0"
"26","2","parent","1.5185305","1.515625","0"
"27","1","parent","1.6087745","1.40625","0"
"27","2","candidate","1.513995","1.484375","0"
"28","1","candidate","1.6132087","1.546875","0"
"28","2","parent","1.5234927","1.484375","0"
"29","1","parent","1.5073586","1.46875","0"
"29","2","candidate","1.8502691","1.640625","0"
"30","1","candidate","1.5708674","1.5625","0"
"30","2","parent","1.6310315","1.59375","0"
"31","1","parent","1.5181715","1.484375","0"
"31","2","candidate","1.5318169","1.484375","0"
"32","1","candidate","1.51407","1.5","0"
"32","2","parent","1.6101676","1.4375","0"
"33","1","parent","1.4685949","1.390625","0"
"33","2","candidate","1.4689363","1.421875","0"
"34","1","candidate","1.4909995","1.421875","0"
"34","2","parent","1.5742326","1.515625","0"
"35","1","parent","1.5658793","1.5","0"
"35","2","candidate","1.5085277","1.453125","0"
"36","1","candidate","1.5466119","1.546875","0"
"36","2","parent","1.7682454","1.71875","0"
"37","1","parent","1.5668981","1.546875","0"
"37","2","candidate","1.5366587","1.515625","0"
"38","1","candidate","1.5025989","1.4375","0"
"38","2","parent","1.541949","1.5","0"
"39","1","parent","1.7935886","1.765625","0"
"39","2","candidate","1.6097","1.59375","0"
"40","1","candidate","1.5171785","1.46875","0"
"40","2","parent","1.4902483","1.484375","0"
"41","1","parent","1.614339","1.46875","0"
"41","2","candidate","1.4988111","1.453125","0"
"42","1","candidate","1.4909468","1.46875","0"
"42","2","parent","1.515163","1.5","0"
"43","1","parent","1.4967258","1.453125","0"
"43","2","candidate","1.5238488","1.453125","0"
"44","1","candidate","1.5744904","1.546875","0"
"44","2","parent","1.5255691","1.46875","0"
"45","1","parent","1.5270033","1.515625","0"
"45","2","candidate","1.4878505","1.46875","0"
"46","1","candidate","1.4846695","1.46875","0"
"46","2","parent","1.485339","1.421875","0"
"47","1","parent","1.6649339","1.65625","0"
"47","2","candidate","1.4771731","1.453125","0"
"48","1","candidate","1.5027917","1.453125","0"
"48","2","parent","1.7183203","1.65625","0"
"49","1","parent","1.7667218","1.75","0"
"49","2","candidate","1.5025293","1.46875","0"
"50","1","candidate","1.4652463","1.421875","0"
"50","2","parent","1.6275139","1.5625","0"
"51","1","parent","1.5718154","1.53125","0"
"51","2","candidate","1.4685304","1.453125","0"
"52","1","candidate","1.5950866","1.421875","0"
"52","2","parent","1.5728085","1.578125","0"
"53","1","parent","2.2138406","2","0"
"53","2","candidate","2.3226925","2.171875","0"
"54","1","candidate","2.0889841","2.0625","0"
"54","2","parent","1.8756788","1.8125","0"
"55","1","parent","1.6806186","1.625","0"
"55","2","candidate","1.8619002","1.828125","0"
"56","1","candidate","1.8803165","1.8125","0"
"56","2","parent","1.9011331","1.828125","0"
"57","1","parent","1.9429533","1.90625","0"
"57","2","candidate","1.8313707","1.75","0"
"58","1","candidate","1.8547464","1.78125","0"
"58","2","parent","1.7181428","1.6875","0"
"59","1","parent","1.9536991","1.90625","0"
"59","2","candidate","1.6358057","1.609375","0"
"60","1","candidate","1.6994122","1.640625","0"
"60","2","parent","1.5892933","1.578125","0"
"61","1","parent","1.5733124","1.515625","0"
"61","2","candidate","1.6073791","1.578125","0"
"62","1","candidate","1.5277167","1.515625","0"
"62","2","parent","1.5695987","1.546875","0"
"63","1","parent","1.5296351","1.515625","0"
"63","2","candidate","1.524686","1.453125","0"
"64","1","candidate","1.6437168","1.59375","0"
"64","2","parent","1.7209757","1.6875","0"
