phase,pair,position,label,wall_seconds,cpu_seconds,user_seconds,system_seconds,status,stdout_sha256,stdout_len,stderr_len
measurement,1,1,parent,1.539424330,1.538902000,1.449908000,0.088994000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,1,2,candidate,1.513172399,1.512567000,1.441587000,0.070980000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,2,1,candidate,1.518585990,1.518256000,1.450289000,0.067967000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,2,2,parent,1.502757558,1.502145000,1.439139000,0.063006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,3,1,parent,1.510680001,1.510317000,1.444302000,0.066015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,3,2,candidate,1.509920388,1.509509000,1.450490000,0.059019000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,4,1,candidate,1.508740131,1.508286000,1.447274000,0.061012000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,4,2,parent,1.517669933,1.517211000,1.447208000,0.070003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,5,1,parent,1.518912188,1.518498000,1.447522000,0.070976000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,5,2,candidate,1.501488560,1.501090000,1.429133000,0.071957000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,6,1,candidate,1.506479274,1.506082000,1.447079000,0.059003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,6,2,parent,1.498021408,1.497538000,1.436516000,0.061022000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,7,1,parent,1.500357132,1.499836000,1.428843000,0.070993000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,7,2,candidate,1.500868355,1.500493000,1.442513000,0.057980000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,8,1,candidate,1.508427468,1.508029000,1.447027000,0.061002000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,8,2,parent,1.500538232,1.500116000,1.434109000,0.066007000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,9,1,parent,1.496039463,1.495555000,1.419527000,0.076028000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,9,2,candidate,1.503738709,1.503334000,1.432318000,0.071016000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,10,1,candidate,1.569321493,1.568802000,1.502810000,0.065992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,10,2,parent,1.556934015,1.556421000,1.471398000,0.085023000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,11,1,parent,1.579025263,1.578587000,1.507603000,0.070984000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,11,2,candidate,1.583317884,1.582956000,1.507958000,0.074998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,12,1,candidate,1.566021028,1.565626000,1.494641000,0.070985000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,12,2,parent,1.577668082,1.577120000,1.513115000,0.064005000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,13,1,parent,1.590972957,1.590474000,1.510498000,0.079976000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,13,2,candidate,1.571108683,1.570697000,1.486713000,0.083984000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,14,1,candidate,1.529962972,1.529594000,1.467570000,0.062024000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,14,2,parent,1.501405403,1.500938000,1.432941000,0.067997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,15,1,parent,1.496231418,1.495871000,1.444875000,0.050996000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
