phase,pair,position,label,wall_seconds,cpu_seconds,user_seconds,system_seconds,status,stdout_sha256,stdout_len,stderr_len
measurement,1,1,parent,1.492469966,1.492071000,1.421067000,0.071004000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,1,2,candidate,1.507505137,1.507118000,1.441113000,0.066005000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,2,1,candidate,1.490529935,1.489971000,1.419972000,0.069999000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,2,2,parent,1.501281628,1.500840000,1.431847000,0.068993000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,3,1,parent,1.482111237,1.481602000,1.417619000,0.063983000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,3,2,candidate,1.493285707,1.492898000,1.444901000,0.047997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,4,1,candidate,1.498947268,1.498402000,1.427383000,0.071019000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,4,2,parent,1.513320532,1.512937000,1.443940000,0.068997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,5,1,parent,1.507000151,1.506542000,1.439562000,0.066980000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,5,2,candidate,1.494957534,1.494549000,1.421571000,0.072978000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,6,1,candidate,1.504248186,1.503877000,1.433883000,0.069994000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,6,2,parent,1.518822762,1.518493000,1.452471000,0.066022000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,7,1,parent,1.504993723,1.504632000,1.448608000,0.056024000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,7,2,candidate,1.517779805,1.517404000,1.452387000,0.065017000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,8,1,candidate,1.515178840,1.514182000,1.452215000,0.061967000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,8,2,parent,1.524867581,1.524532000,1.448555000,0.075977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,9,1,parent,1.481904786,1.481483000,1.423464000,0.058019000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,9,2,candidate,1.510608423,1.510271000,1.441259000,0.069012000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,10,1,candidate,1.506740168,1.506346000,1.435329000,0.071017000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,10,2,parent,1.530585229,1.530203000,1.455242000,0.074961000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,11,1,parent,1.502080669,1.501486000,1.425512000,0.075974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,11,2,candidate,1.514724866,1.514370000,1.445399000,0.068971000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,12,1,candidate,1.490836615,1.490493000,1.426514000,0.063979000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,12,2,parent,1.522914576,1.522506000,1.444531000,0.077975000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,13,1,parent,1.485013242,1.484596000,1.411616000,0.072980000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,13,2,candidate,1.513829768,1.513420000,1.453443000,0.059977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,14,1,candidate,1.510778255,1.510198000,1.428241000,0.081957000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,14,2,parent,1.509414507,1.508963000,1.447965000,0.060998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,15,1,parent,1.530857729,1.530394000,1.456374000,0.074020000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,15,2,candidate,1.507880381,1.507422000,1.443404000,0.064018000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,16,1,candidate,1.512029743,1.511385000,1.443367000,0.068018000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,16,2,parent,1.510205603,1.509767000,1.441733000,0.068034000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,17,1,parent,1.511285848,1.510886000,1.444891000,0.065995000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,17,2,candidate,1.514696006,1.514318000,1.448347000,0.065971000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,18,1,candidate,1.529833172,1.529249000,1.456285000,0.072964000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,18,2,parent,1.501167360,1.500772000,1.433782000,0.066990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,19,1,parent,1.503005258,1.502646000,1.434662000,0.067984000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,19,2,candidate,1.511648925,1.511260000,1.451289000,0.059971000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,20,1,candidate,1.507889488,1.507519000,1.429544000,0.077975000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,20,2,parent,1.495577677,1.495211000,1.412196000,0.083015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,21,1,parent,1.502566291,1.502187000,1.440177000,0.062010000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,21,2,candidate,1.511420675,1.511029000,1.446028000,0.065001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,22,1,candidate,1.513981249,1.513619000,1.440637000,0.072982000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,22,2,parent,1.504750706,1.504334000,1.438319000,0.066015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,23,1,parent,1.501516743,1.501159000,1.438152000,0.063007000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,23,2,candidate,1.531781364,1.531296000,1.463283000,0.068013000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,24,1,candidate,1.522816987,1.522465000,1.444492000,0.077973000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,24,2,parent,1.505482803,1.505072000,1.440069000,0.065003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,25,1,parent,1.519960024,1.519577000,1.455595000,0.063982000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,25,2,candidate,1.500163579,1.499775000,1.421786000,0.077989000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,26,1,candidate,1.520561133,1.520194000,1.456186000,0.064008000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,26,2,parent,1.505486101,1.505126000,1.438120000,0.067006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,27,1,parent,1.499606341,1.499233000,1.432267000,0.066966000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,27,2,candidate,1.507325471,1.506924000,1.444927000,0.061997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,28,1,candidate,1.515493898,1.515124000,1.457128000,0.057996000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,28,2,parent,1.521728403,1.521364000,1.442397000,0.078967000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,29,1,parent,1.503803947,1.503369000,1.438353000,0.065016000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,29,2,candidate,1.508785441,1.508437000,1.442418000,0.066019000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,30,1,candidate,1.508910268,1.508542000,1.433515000,0.075027000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,30,2,parent,1.494561039,1.494151000,1.425144000,0.069007000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,31,1,parent,1.502087227,1.501717000,1.431730000,0.069987000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,31,2,candidate,1.527406776,1.526960000,1.453962000,0.072998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,32,1,candidate,1.517796986,1.517459000,1.462478000,0.054981000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,32,2,parent,1.516789937,1.516142000,1.451136000,0.065006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,33,1,parent,1.504598818,1.504232000,1.421219000,0.083013000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,33,2,candidate,1.495862874,1.495414000,1.425394000,0.070020000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,34,1,candidate,1.489495439,1.489020000,1.418019000,0.071001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,34,2,parent,1.516374927,1.515977000,1.446978000,0.068999000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,35,1,parent,1.522919438,1.522254000,1.445249000,0.077005000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,35,2,candidate,1.508701373,1.508078000,1.439075000,0.069003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,36,1,candidate,1.495789516,1.495428000,1.425454000,0.069974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,36,2,parent,1.501133106,1.500557000,1.450572000,0.049985000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,37,1,parent,1.500711728,1.500243000,1.430232000,0.070011000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,37,2,candidate,1.484100107,1.483737000,1.421747000,0.061990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,38,1,candidate,1.500390450,1.499935000,1.436938000,0.062997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,38,2,parent,1.503187593,1.502565000,1.424587000,0.077978000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,39,1,parent,1.529426838,1.528743000,1.453755000,0.074988000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,39,2,candidate,1.494293987,1.493889000,1.428894000,0.064995000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,40,1,candidate,1.503807930,1.503401000,1.439426000,0.063975000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,40,2,parent,1.508923186,1.508465000,1.439490000,0.068975000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,41,1,parent,1.507980714,1.507337000,1.441366000,0.065971000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,41,2,candidate,1.498084368,1.497678000,1.424693000,0.072985000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,42,1,candidate,1.489135741,1.488712000,1.407673000,0.081039000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,42,2,parent,1.513164506,1.512763000,1.441774000,0.070989000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,43,1,parent,1.492450590,1.491848000,1.411857000,0.079991000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,43,2,candidate,1.501182604,1.500439000,1.438420000,0.062019000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,44,1,candidate,1.518510221,1.518083000,1.464080000,0.054003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,44,2,parent,1.522218696,1.521675000,1.444641000,0.077034000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,45,1,parent,1.519203059,1.518818000,1.448826000,0.069992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,45,2,candidate,1.503418881,1.503059000,1.432056000,0.071003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,46,1,candidate,1.518655468,1.518299000,1.448285000,0.070014000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,46,2,parent,1.497752005,1.497385000,1.438409000,0.058976000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,47,1,parent,1.497373752,1.496960000,1.435962000,0.060998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,47,2,candidate,1.518839585,1.518190000,1.442180000,0.076010000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,48,1,candidate,1.523174864,1.522744000,1.464754000,0.057990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,48,2,parent,1.505112782,1.504474000,1.433499000,0.070975000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,49,1,parent,1.513735523,1.513327000,1.437360000,0.075967000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,49,2,candidate,1.480870113,1.480527000,1.408550000,0.071977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,50,1,candidate,1.528941088,1.528494000,1.450520000,0.077974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,50,2,parent,1.505929035,1.505327000,1.452350000,0.052977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,51,1,parent,1.516382405,1.515752000,1.444764000,0.070988000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,51,2,candidate,1.518410506,1.517996000,1.446996000,0.071000000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,52,1,candidate,1.513778952,1.513393000,1.441421000,0.071972000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,52,2,parent,1.514963483,1.514392000,1.449418000,0.064974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,53,1,parent,1.526857452,1.526488000,1.457512000,0.068976000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,53,2,candidate,1.501655910,1.501285000,1.428270000,0.073015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,54,1,candidate,1.506321087,1.505937000,1.433940000,0.071997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,54,2,parent,1.523499980,1.523068000,1.455065000,0.068003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,55,1,parent,1.516473336,1.516062000,1.438059000,0.078003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,55,2,candidate,1.491795703,1.491425000,1.422451000,0.068974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,56,1,candidate,1.519088046,1.518719000,1.450732000,0.067987000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,56,2,parent,1.503728024,1.503350000,1.435334000,0.068016000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,57,1,parent,1.507967219,1.507604000,1.434623000,0.072981000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,57,2,candidate,1.495138632,1.494786000,1.420796000,0.073990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,58,1,candidate,1.519072573,1.518611000,1.439579000,0.079032000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,58,2,parent,1.520331487,1.520008000,1.452007000,0.068001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,59,1,parent,1.505631007,1.505204000,1.425194000,0.080010000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,59,2,candidate,1.509430869,1.509041000,1.429038000,0.080003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,60,1,candidate,1.510526323,1.510149000,1.448184000,0.061965000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,60,2,parent,1.511404572,1.511068000,1.441065000,0.070003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,61,1,parent,1.522756162,1.522279000,1.455267000,0.067012000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,61,2,candidate,1.518205801,1.517807000,1.450815000,0.066992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,62,1,candidate,1.485235720,1.484558000,1.406581000,0.077977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,62,2,parent,1.518013870,1.517649000,1.437675000,0.079974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,63,1,parent,1.505187074,1.504555000,1.426578000,0.077977000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,63,2,candidate,1.530788750,1.530348000,1.467334000,0.063014000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,64,1,candidate,1.497832961,1.497315000,1.415352000,0.081963000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,64,2,parent,1.508315423,1.507953000,1.443955000,0.063998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
