phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,2,0,21097,16,12,11.491070680287363,13.3993417443774,47.825,15.4,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,2,4,4635,14,11,11.287362544036279,8.432366730335128,57.009049773755656,14.633020637898685,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,2,8,2399,10,8,11.089241946512688,7.105332063794335,101.19786096256685,15.94316065164566,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,2,16,616,8,6,16.791958420856723,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,2,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,3,0,12611,15,12,11.930412077631708,13.209415584415584,53.3375,16.78235294117647,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,3,4,4629,14,11,11.28742681253973,8.432366730335128,64.78333333333333,14.633020637898685,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,3,8,2399,10,8,11.089241946512688,7.105332063794335,101.19786096256685,15.94316065164566,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,3,16,616,8,6,16.791958420856723,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,3,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,4,0,8892,15,12,12.125825832284345,11.487443267776097,85.75,21.075,61976,True,False
